date,t,p
2019.2.10,7,751
2019.2.11,6,743
2019.2.12,3,759
2019.2.13,4,758
2019.2.14,5,770
2019.2.15,5,769
2019.2.16,10,765
2019.2.17,6,764
2019.2.18,4,765
2019.2.19,10,753
2019.2.20,5,755
2019.2.21,2,763
2019.2.22,-1,778
2019.2.23,-1,779
2019.2.24,7,772
2019.2.25,5,768
2019.2.26,9,764
2019.2.27,12,760
2019.2.28,8,746
2019.3.1,0,753
2019.3.2,1,758
2019.3.3,6,749
2019.3.4,10,740
2019.3.5,5,740
2019.3.6,4,758
2019.3.7,9,747
2019.3.8,10,746
2019.3.9,8,748
2019.3.10,5,744
2019.3.11,2,750
2019.3.12,2,758
2019.3.13,4,750
2019.3.14,6,745
2019.3.15,6,744
2019.3.16,4,746
2019.3.17,8,747
2019.3.18,9,752
2019.3.19,5,762
2019.3.20,8,770
2019.3.21,10,768
2019.3.22,11,772
2019.3.23,13,765
2019.3.24,9,763
2019.3.25,4,755
2019.3.26,3,754
2019.3.27,7,765
2019.3.28,7,770
2019.3.29,9,765
2019.3.30,16,763
2019.3.31,9,760
2019.4.1,9,770
2019.4.2,12,767
2019.4.3,13,761
2019.4.4,15,757
2019.4.5,16,758
2019.4.6,17,759
2019.4.7,18,754
2019.4.8,12,756
2019.4.9,6,758
2019.4.10,3,761
2019.4.11,5,765
2019.4.12,8,767
2019.4.13,9,767
2019.4.14,10,769
2019.4.15,12,769
2019.4.16,9,770
2019.4.17,19,770
2019.4.18,20,772
2019.4.19,20,772
2019.4.20,18,769
2019.4.21,14,764
2019.4.22,15,767
2019.4.23,20,767
2019.4.24,21,762
2019.4.25,24,760
2019.4.26,26,756
2019.4.27,27,752
2019.4.28,16,757
2019.4.29,20,759
2019.4.30,19,758
2019.5.1,19,752
2019.5.2,10,744
2019.5.3,10,750
2019.5.4,12,751
2019.5.5,9,758
2019.5.6,13,758
2019.5.7,11,758
2019.5.8,13,760
2019.5.9,18,753
2019.5.10,14,753
2019.5.11,16,755
2019.5.12,16,765
2019.5.13,11,770
2019.5.14,9,769
2019.5.15,16,764
2019.5.16,15,761
2019.5.17,19,759
2019.5.18,16,758
2019.5.19,25,755
2019.5.20,27,753
2019.5.21,25,753
2019.5.22,23,753
2019.5.23,20,755
2019.5.24,18,757
2019.5.25,15,755
2019.5.26,14,755
2019.5.27,20,752
2019.5.28,20,750
2019.5.29,13,760
2019.5.30,17,766
2019.5.31,20,763
2019.6.1,21,763
2019.6.2,19,762
2019.6.3,25,762
2019.6.4,28,760
2019.6.5,30,759
2019.6.6,29,759
2019.6.7,28,759
2019.6.8,29,760
2019.6.9,23,767
2019.6.10,25,763
2019.6.11,32,758
